"Auction","description_name","description_url","description_sale_info","description_BaT_Essentials_1_name","description_BaT_Essentials_2_name","description_BaT_Essentials_3_name","description_BaT_Essentials_4_name","description_BaT_Essentials_5_name","description_BaT_Essentials_6_name","description_BaT_Essentials_7_name","description_BaT_Essentials_8_name","description_BaT_Essentials_9_name","description_BaT_Essentials_10_name","description_BaT_Essentials_11_name","description_BaT_Essentials_12_name","description_BaT_Essentials_13_name","description_BaT_Essentials_14_name","description_BaT_Essentials_15_name","description_BaT_Essentials_16_name","description_BaT_Essentials_17_name","description_BaT_Essentials_18_name","description_BaT_Essentials_19_name","description_BaT_Essentials_20_name","description_BaT_Essentials_21_name","description_BaT_Essentials_22_name","description_BaT_Essentials_23_name","description_BaT_Essentials_24_name","Remove"
"","1958 Austin A35","https://bringatrailer.com/listing/1958-austin-a-35-2/","Sold for $8,000 on 6/29/20","Location: Canton, Georgia 30114","Chassis: A2S5HCS118981","51k Miles Shown, TMU","948cc A-Series Inline-Four","1¼"" SU AUD120 Carburetor","Spin-On Oil-Filter Adapter","4-Speed Manual Transmission","Red Metallic","Black Interior with Gray-and-Red Plaid","Factory-Installed Heater","12-Volt Negative-Ground Conversion","New Brake Shoes and Drums in May 2020","Replacement Fuel Tank","BMIHT Certificate","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","1984 Audi Ur-Quattro","https://bringatrailer.com/listing/1984-audi-ur-quattro-5/","Sold for $28,000 on 6/29/20","Location: Brookline, Massachusetts 02445","Chassis: WAUDC0853EA900933","161k Miles Shown","Rebuilt Turbocharged 2.1L Inline-Five","Five-Speed Manual Gearbox","All-Wheel Drive","Lockable Center & Rear Differentials","Refinished in Amazon Blue Metallic","Redyed Brown Leather","Sloped H1/H4 Headlights","15""x8"" Ronal Wheels","Adjustable Coilover Suspension","Adjustable Koni Shock","Audi Sport Steering Wheel","Alpine Stereo","Recent Timing Belt Service","Maintenance Booklet","Partial Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","1"
"","46k-Mile 1989 Porsche 911 Carrera Targa G50","https://bringatrailer.com/listing/1989-porsche-911-carrera-targa-19/","Sold for $67,500 on 6/29/20","Location: Dallas, Texas 75207","Chassis: WP0EB0917KS160444","46k Miles Shown","Numbers-Matching 3.2L Flat-Six","G50 Five-Speed Manual Transaxle","Grand Prix White","Linen and Black Partial Leather","Black Targa Roof","Cruise Control","Blaupunkt Reno Cassette Deck","Porsche Certificate of Authenticity","Manufacturer's Literature","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","1"
"","Supercharged 2013 BMW M3 Coupe Competition Package 6-Speed","https://bringatrailer.com/listing/2013-bmw-m3-55/","Sold for $42,792 on 6/29/20","Location: Katy, Texas 77450","Chassis: WBSKG9C50DJ594789","25k Miles Shown","4.0-Liter V8","6-Speed Manual Transmission","Variable M Limited-Slip Differential","ESS Tuning VT2-625 Supercharger System","Le Mans Blue","Black Speed Cloth and Novillo Leather","ZCP Competition Package","19"" VMR Wheels","Innotech Performance Exhaust System","Dinan S2 Springs","Dinan Strut Tower Brace","Carbon Fiber Roof","Navigation","Removed Factory Parts & Wheels","Service Records","Books and Manuals","Clean Carfax Report","Private Party or Dealer: Private Party","","","","1"
"","2003 BMW M5","https://bringatrailer.com/listing/2003-bmw-m5-93/","Sold for $36,750 on 6/29/20","Location: Miami, Florida 33134","Chassis: WBSDE93413CF92559","64k Miles Shown","4.9-Liter DOHC V8","6-Speed Manual Transmission","aFe Magnum Force Cold-Air Intake","Supersprint X-Pipe","Tubi Rumore Exhaust","Black over Caramel Nappa Leather","Heated Front Seats","Power Sunroof","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","1954 Norton Model 7 Dominator","https://bringatrailer.com/listing/1954-norton-dominator-2/","Bid to $6,000 on 6/29/20","Location: Peer, Belgium","Chassis: 1255514","800 Miles Shown, TMU","497cc Parallel-Twin","Four-Speed Transmission","Refinished in Black w/ Pinstriping","Black Seat","Wire Wheels","Chrome Exhaust","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","","1"
"","19k-Mile 2004 Porsche 911 40th Anniversary 6-Speed","https://bringatrailer.com/listing/2004-porsche-911-40th-anniversary-40/","Sold for $41,333 on 6/29/20","Location: Longwood, Florida 32779","Chassis: WP0AA29954S621002","19k Miles Shown","3.6-Liter Flat-Six","Six-Speed Manual Transaxle","Silver Metallic","Natural Gray Leather","X51 Power Kit","18"" Carrera II Wheels","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","","1"
"","No Reserve: 2008 Tesla Roadster","https://bringatrailer.com/listing/2008-tesla-roadster-4/","Sold for $52,420 on 6/29/20","Location: Fremont, California 94539","Chassis: 5YJRE11B081000203","61k Miles","3-Phase 4-Pole Electric Induction Motor","Borg-Warner Single-Speed Transmission","53-Kilowatt-Hour Battery","Electric Blue over Black and Gray Leather","Matching Carbon Fiber Hardtop","J1772 Adapter","110-Volt Cable","220-Volt Cable","Joying Android Stereo","Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","Modified 1972 Porsche 911 3.6L","https://bringatrailer.com/listing/1972-porsche-911-15/","Sold for $125,000 on 6/29/20","Location: San Bruno, California 94066","Chassis: 9112100851","4k Miles Shown, TMU","Rebuilt 964 3.6L Flat-Six","Fuel Injection","Independent Throttle Bodies w/ Air Cleaners","1986 915 5-Speed Manual Gearbox","Refinished in Light Ivory","R-Style Bodywork","Fuchs Wheels","Boxster S Brembo Brakes","Modified Suspension","Refreshed Black Interior","BF Torino Bucket Seats","Custom Stainless-Steel Exhaust","Front Oil Coolers","Service Records since 2017","Private Party or Dealer: Private Party","","","","","","","1"
"","36-Years-Owned 1983 DeLorean DMC-12","https://bringatrailer.com/listing/1983-delorean-dmc-12-9/","Sold for $45,000 on 6/29/20","Location: Saint Elmo, Illinois 62458","Chassis: SCEDT26T2DD016582","457 Miles Shown","2.85-Liter V6","Five-Speed Manual Transaxle","Brushed Stainless Steel Body","Black Leather Interior","Long-Term Ownership","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","","","1"
"","32-Years-Owned 1987 Buick Grand National","https://bringatrailer.com/listing/1987-buick-grand-national-46/","Sold for $18,772 on 6/29/20","Location: Old Lyme, Connecticut 06371","Chassis: 1G4GJ1177HP457299","79k Miles Shown","Turbocharged 3.8-Liter V6","Four-Speed Automatic Transmission","Limited-Slip Differential","Black over Gray","Engine Computer Chip","R134a-Converted Air Conditioning","Power Windows and Locks","Cruise Control","Trunk-Mounted CD Changer","Alarm w/Remote Start","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","1968 Lamborghini Miura P400","https://bringatrailer.com/listing/1968-lamborghini-miura-p400/","Sold for $990,000 on 6/29/20","Location: Victoria, British Columbia, Canada","Chassis: 3357","29k Miles Shown, TMU","Numbers-Matching 3.9-Liter V12","Five-Speed Manual Transaxle","Restoration 2014-2016","Verde Miura over Blue Leather","Updated Split-Sump Lubrication System","Four Triple-Choke Weber Carburetors","Dual Marelli Distributors","15"" Campagnolo Wheels","Driver's Handbook","Invoices from Current Ownership","Restoration Photos","Awards from Concours Participation","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","1"
"","1990 Jaguar XJS","https://bringatrailer.com/listing/1990-jaguar-xjs-53/","Bid to $14,250 on 6/26/20","Location: Glen Rock, New Jersey 07452","Chassis: SAJNW4845LC171057","25k Miles Shown, TMU","5.3-Liter V12","3-Speed Automatic","Signal Red over Barley Leather","Black Soft Top","Heated Seats","Service Records","Books and Manuals","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","1954 Austin-Healey 100 BN1 Roadster","https://bringatrailer.com/listing/1954-austin-healey-100-bn1-roadster-14/","Sold for $62,000 on 6/26/20","Location: Saint-René, Quebec, Canada","Chassis: BN1L151963","500 Miles Shown, TMU","Numbers-Matching 2.7-Liter Inline-Four","Three-Speed Manual Transmission w/Overdrive","Left-Hand Drive","Reversed Shift Pattern","Restoration Completed 2010","Spruce Green w/Green Soft Top & Leather","Painted Knock-Off Wire Wheels","Tonneau Cover Included","Refurbishment Photos","British Motor Industry Heritage Trust Certificate","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","No Reserve: 2003 BMW 540i M Sport 6-Speed","https://bringatrailer.com/listing/2003-bmw-540i-77/","Sold for $9,000 on 6/26/20","Location: Langhorne, Pennsylvania 19047","Chassis: WBADN53433GF71282","167k Miles","4.4-Liter V8","Six-Speed Manual Transmission","Alpine White/Sand Beige Leather","M Sport Package","Power-Adjustable & Heated Sport Seats","Xenon Headlights","Aftermarket Auxiliary Input","Continental Tires Installed 5k Miles Ago","Manufacturer's Literature","Service Records","Accident-Free Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","1962 Ford Thunderbird Convertible","https://bringatrailer.com/listing/1962-ford-thunderbird-27/","Bid to $25,500 on 6/26/20","Location: Frederick, Maryland 21702","Chassis: 2Y85Z102159","100k Miles Shown","390ci V8 Tri-Power","Three-Speed Automatic Transmission","Corinthian White over Red","White Soft Top","Swing-Away Steering Wheel","Sports Roadster Style Tonneau Cover","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0 Document Fee","","","","","","","","","","","","","","1"
"","1999 Toyota Land Cruiser UZJ100","https://bringatrailer.com/listing/1999-toyota-land-cruiser-14/","Sold for $12,750 on 6/26/20","Location: Santa Barbara, California 93109","Chassis: JT3HT05J0X0028584","168k Miles Indicated","4.7-Liter V8","4-Speed Automatic Transmission","2-Speed Transfer Case","Locking Center & Rear Differentials","River Rock Green Mica over Gray Leather","Running Boards & Roof Rack","Stock Stereo","Window Sticker","Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","No Reserve: Ferrari F512 M Tool Kit","https://bringatrailer.com/listing/ferrari-f512-m-tool-kit/","Sold for $3,600 on 6/26/20","Location: Clermont, Florida 34711","Tool Kit for Ferrari F512 M","Tan Leather Case","Three Removable Trays","Eight Double-Open-Ended Wrenches","Four Screwdrivers","Spare Fuses, Bulbs, and Belts","Agip Tire Inflator","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","","","1"
"","No Reserve: 1977 Alfa Romeo Spider","https://bringatrailer.com/listing/1977-alfa-romeo-spider-6/","Sold for $7,377 on 6/26/20","Location: Goodyear, Arizona 85338","Chassis: AR3050498","99k Miles Shown","2.0-Liter Inline-Four","5-Speed Manual Transmission","Red over Black","Black Soft Top","14"" Cromodora Wheels","Clarion CD Player","Tool Kit","Service Records","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","1"
"","No Reserve: 42k-Mile 2006 BMW 330Ci Convertible","https://bringatrailer.com/listing/2006-bmw-330ci-convertible/","Sold for $17,750 on 6/26/20","Location: North Salem, New York 10560","Chassis: WBABW534X6PZ43349","42k Miles","3.0-Liter Inline-Six","Five-Speed Automatic Gearbox","Quartz Blue Metallic w/Blue Soft Top","Sand Montana Leather","Single-Ownership History","Heated and Power-Adjustable Front Seats","Adaptive Xenon Headlights","Burl Wood Accents","Automatic Climate Control","Harman-Kardon Sound System","Window Sticker","Service Records","Davis Report","Accident-Free Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","1"
"","No Reserve: 1985 Honda ATC 110","https://bringatrailer.com/listing/1985-honda-atc-110/","Sold for $4,350 on 6/26/20","Location: Malone, New York 12953","Chassis: JH3TB0202FC613977","TMU","110cc 4-Stroke Single","Dual-Range 4-Speed Transmission","Automatic Clutch","Fuel Tank & Fork Refinished","Fenders Replaced","Owner's Manual","Original Sales Documentation","Service Records Since 2018","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","1950 Ford F1 Street Rod","https://bringatrailer.com/listing/1950-ford-f-1-pickup-13/","Bid to $27,250 on 6/26/20","Location: Scottsdale, Arizona 85258","Chassis: AZ171947","12k Miles Shown, TMU","Fuel-Injected 351ci V8","5-Speed Manual Transmission","Limited-Slip 9"" Differential","Shaved/Tucked Body & Engine Bay","Reinforced Frame","Staggered Colorado Custom Wheels","Door Poppers","Vermillion over Tan Leather","Corbeau Sport Seats","Air Conditioning","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","No Reserve: 2003 Mini Cooper S 6-Speed","https://bringatrailer.com/listing/2003-mini-cooper-s-32/","Sold for $6,900 on 6/26/20","Location: Roseville, California 95678","Chassis: WMWRE33473TD69188","71k Miles","Supercharged 1.6-Liter Inline-Four","Six-Speed Transmission","Liquid Yellow","Black Panther Profile Leather Interior","Sport and Premium Packages","Recent Servicing","Koni Dampers","PowerStop Brake Rotors & Pads","Window Sticker","Manufacturer's Literature","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","1992 Porsche 968 Coupe 6-Speed","https://bringatrailer.com/listing/1992-porsche-968-coupe-21/","Sold for $19,250 on 6/26/20","Location: South Dumfries, Ontario, Canada","Chassis: WP0AA2960NS820546","95k Kilometers (~59k Miles) Shown","3.0-Liter VarioCam Inline-Four","6-Speed Manual","Polar Silver Metallic","Classic Grey Leather","16"" Wheels","Power-Adjustable Front Sport Seats","Recent Timing Belt Service","Replacement Tires","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","Supercharged 2003 Honda S2000","https://bringatrailer.com/listing/2003-honda-s2000-63/","Sold for $24,373 on 6/26/20","Location: Boynton Beach, Florida 33437","Chassis: JHMAP11443T001225","65k Miles Shown","Supercharged 2.0L Inline-Four","6-Speed Manual Transmission","Torsen Limited-Slip Differential","Silverstone Metallic over Red & Black","Black Soft Top w/Defroster","KraftWerks Black Series Supercharger Kit","Skunk2 Racing Header","Clutch Masters FX300 Clutch","Take-Off Parts","Car Cover","Manufacturer's Literature","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","1"
"","1976 Triumph TR6 w/Overdrive","https://bringatrailer.com/listing/1976-triumph-tr6-55/","Sold for $12,000 on 6/26/20","Location: Ottawa, Ontario, Canada","Chassis: CF58272U","Owned 18 Years","79k Miles Shown, TMU","2.5-Liter Inline-Six","4-Speed Manual Transmission w/OD","Brown over Tan Vinyl Interior","Soft Top & Boot, Spare Wheel","Rebuilt Slave Cylinder","New Vacuum Advance in 2019","Service Records from Seller","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","2014 Mercedes-Benz E350 4MATIC Wagon","https://bringatrailer.com/listing/2014-mercedes-benz-e350-4matic-wagon-3/","Sold for $30,000 on 6/26/20","Location: North Salem, New York 10560","Chassis: WDDHH8JB2EB044691","60k Miles","3.5-Liter V6","Seven-Speed Automatic Gearbox","4MATIC All-Wheel Drive","Indigo Blue Metallic","Beige Nappa Leather w/ Brown Piping","Burl Walnut Trim","AMG Styling Package","Third-Row Seating","Glass Sunroof","Adaptive LED Headlights","Active Park Assist","Active Blind Spot Assist","Active Lane Keeping Assist","VMI Report","Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","1"
"","23k-Mile 1991 Acura NSX 5-Speed","https://bringatrailer.com/listing/1991-acura-nsx-87/","Sold for $69,000 on 6/26/20","Location: Dallas, Texas 75207","Chassis: JH4NA1156MT000932","23k Miles Shown","3.0-Liter V6","Five-Speed Manual Transaxle","Berlina Black","Black Leather Interior","Power-Adjustable Seats","Automatic Climate Control","Bose Sound System","Forged Wheels","Window Sticker","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","1"
"","1988 BMW 325i Convertible 5-Speed","https://bringatrailer.com/listing/1988-bmw-325ic-23/","Sold for $14,250 on 6/26/20","Location: Camarillo, California 93012","Chassis: WBABB1309J8272938","75k Miles Shown","2.5-Liter M20 Inline-Six","Five-Speed Manual Gearbox","Salmon Silver over Black Leather","Black Soft Top","14"" Alloy Wheels","Air Conditioning","Cruise Control","Service Records","Window Sticker","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","No Reserve: 2001 BMW M3 Convertible 6-Speed","https://bringatrailer.com/listing/2001-bmw-m3-72-2/","Sold for $19,250 on 6/26/20","Location: Blaine, Washington 98230","Chassis: WBSBR93401EX20722","119k Miles Shown","3.2-Liter Inline-Six","Six-Speed Manual Transmission","Carbon Black Metallic/Cinnamon Leather","Black Cloth Top","Kenwood Navigation & Rear LCD Screens","20"" Wheels","Aftermarket Splitter & Side Skirts","Gruppe M Carbon Fiber Intake","Rotora Front Calipers","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","1994 Chevrolet Camaro Z28 6-Speed","https://bringatrailer.com/listing/1994-chevrolet-camaro-13/","Sold for $8,100 on 6/26/20","Location: Stockton, California 95215","Chassis: 2G1FP22P1R2219517","59k Miles Shown","5.7-Liter LT1 V8","Six-Speed Manual Gearbox","Bright Red","Two-Tone Gray Cloth","Glass T-Tops","Power-Adjustable Front Seats","Front Fog Lights","Air Conditioning","AM/FM/CD stereo","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","No Reserve: 2003 Mercedes-Benz CL55 AMG","https://bringatrailer.com/listing/2003-mercedes-benz-cl-55-amg-11/","Sold for $8,900 on 6/26/20","Location: Westerly, Rhode Island 02891","Chassis: WDBPJ74J83A039262","106k Miles Indicated","Supercharged 5.4L V8","5-Speed AMG Speedshift Automatic Transmission","Black over Anthracite Exclusive Leather","18"" AMG Wheels","COMAND Navigation","Electrohydraulic Suspension","Owned 13 Years","Service Records","Manufacturer's Literature","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","2008 Audi S5 Coupe 6-Speed","https://bringatrailer.com/listing/2008-audi-s5-16/","Sold for $13,001 on 6/26/20","Location: Livermore, California 94551","Chassis: WAURV78T08A014189","78k Miles","4.2-Liter V8","Six-Speed Manual Gearbox","All-Wheel Drive","Black over Tuscan Brown Nappa Leather","19"" Wheels","MMI Navigation","Dual-Zone Climate Control","Recent Service","Service Records","Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","40k-Mile 1984 Mercedes-Benz 380SE","https://bringatrailer.com/listing/1984-mercedes-benz-380se-4/","Sold for $14,300 on 6/26/20","Location: Knoxville, Tennessee 37919","Chassis: WDBCA32A7EA038410","40k Miles Shown","3.8-Liter M116 V8","4-Speed Automatic Transmission","Lapis Blue","Palomino Leather","Sunroof","14″ Chrome Bundt Wheels","Air Conditioning","Service Records","Books and Manuals","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","One-Owner 1985 Mazda RX-7 GSL-SE 5-Speed","https://bringatrailer.com/listing/1985-mazda-rx-7-gsl-se-14/","Sold for $14,250 on 6/26/20","Location: Orland Park, Illinois 60467","Chassis: JM1FB3322F0886592","39k Miles Shown","1.3-Liter Rotary","5-Speed Manual Transmission","Sunrise Red over Gray Cloth","14"" Alloy Wheels","Removable Sunroof","Power Windows","Factory AM/FM/Cassette Stereo","Air Conditioning","Accident-Free Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
